CSI Index: 1
Subcarrier,Amplitude,Phase
46,22.36068,2.677945
47,21.931713,2.718739
48,21.931713,2.718739
49,21.540659,2.761086
50,21.540659,2.761086
51,21.189621,2.804918
52,21.189621,2.804918
53,21.587032,2.90785
54,21.587032,2.90785
55,21.377558,2.953371
56,20.223749,2.992703
57,20.024984,3.091634
58,20.0,3.141593
59,20.024984,-3.091634
60,20.099751,-3.041924
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 14
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,27.856777,1.93797
5,29.15476,1.957672
6,29.068884,2.034444
7,29.529646,2.064738
8,29.15476,2.111216
9,29.681644,2.14011
10,29.681644,2.14011
11,30.232433,2.167973
12,30.805843,2.194819
13,30.0,2.214298
14,30.0,2.214298
15,30.0,2.214298
16,29.410883,2.187093
17,28.600698,2.207304
18,28.017851,2.178598
19,28.017851,2.178598
20,27.459061,2.148698
21,27.784887,2.098871
22,27.784887,2.098871
23,28.178005,2.050316
24,27.730848,2.018316
25,28.635643,2.003204
26,28.231188,1.971037
27,29.15476,1.957672
28,30.083218,1.94513
29,28.79236,1.925502
30,29.732138,1.91382
31,29.410883,1.881795
32,0.0,0.0
33,30.364452,1.871717
34,29.12044,1.849096
35,27.892651,1.82447
36,27.658634,1.789465
37,25.709921,1.806341
38,25.495098,1.768192
39,24.331051,1.735945
40,23.194826,1.700499
41,23.194826,1.700499
42,23.086792,1.657535
43,23.021729,1.614247
44,22.022715,1.61622
45,22.0,1.570796
46,21.023796,1.523213
47,21.023796,1.523213
48,21.095022,1.475845
49,21.095022,1.475845
50,21.095022,1.475845
51,20.099751,1.471128
52,21.095022,1.475845
53,21.095022,1.475845
54,21.095022,1.475845
55,20.099751,1.471128
56,20.024984,1.520838
57,20.0,1.570796
58,19.0,1.570796
59,20.024984,1.620755
60,20.099751,1.670465
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 15
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,29.15476,-1.030377
5,28.84441,-0.982794
6,29.410883,-0.954499
7,30.610456,-0.901157
8,30.479502,-0.855053
9,31.890438,-0.851966
10,30.413813,-0.80865
11,31.827662,-0.807617
12,31.112698,-0.785398
13,31.112698,-0.785398
14,30.413813,-0.762147
15,30.413813,-0.762147
16,30.413813,-0.762147
17,29.698484,-0.785398
18,29.0,-0.809784
19,29.0,-0.809784
20,29.068884,-0.858439
21,29.206163,-0.90675
22,29.410883,-0.954499
23,29.410883,-0.954499
24,28.84441,-0.982794
25,28.84441,-0.982794
26,29.15476,-1.030377
27,29.529646,-1.076855
28,30.413813,-1.092444
29,30.413813,-1.092444
30,30.413813,-1.092444
31,30.870699,-1.136126
32,0.0,0.0
33,30.463093,-1.165905
34,29.732138,-1.227772
35,28.79236,-1.216091
36,27.513634,-1.237552
37,27.513634,-1.237552
38,25.96151,-1.297788
39,25.709921,-1.335251
40,24.738634,-1.325818
41,24.515301,-1.365401
42,23.345236,-1.398605
43,23.194826,-1.441094
44,23.086792,-1.484058
45,22.090721,-1.480136
46,23.021729,-1.527345
47,22.0,-1.570796
48,22.0,-1.570796
49,22.0,-1.570796
50,22.022715,-1.61622
51,22.022715,-1.61622
52,22.022715,-1.61622
53,22.022715,-1.61622
54,22.022715,-1.61622
55,21.023796,-1.618379
56,21.0,-1.570796
57,21.0,-1.570796
58,21.023796,-1.523213
59,21.023796,-1.523213
60,21.095022,-1.475845
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 16
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,28.635643,1.138389
5,28.79236,1.216091
6,29.12044,1.292497
7,29.832869,1.333948
8,29.614185,1.366778
9,31.400637,1.410883
10,30.265491,1.438245
11,31.144823,1.474323
12,30.066593,1.504228
13,31.064449,1.506369
14,30.016663,1.537475
15,30.016663,1.537475
16,30.0,1.570796
17,29.017237,1.536327
18,29.017237,1.536327
19,28.017851,1.535097
20,28.071337,1.499489
21,28.071337,1.499489
22,29.15476,1.467715
23,28.160255,1.464061
